Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
YAL027W	SAW1	I	+	94687	95472	1.468667	345.038727	688.906799
YAL026C-A	YAL026C-A	I	-	95386	95823	1.862857	437.647064	873.809326
YAL026C	DRS2	I	-	95630	99697	4.206073	988.146423	1972.940308
HRA1	HRA1	I	+	99305	99868	0.241827	56.813202	113.433655
YAL025C	MAK16	I	-	100225	101145	3.205212	753.010925	1503.467041
YAL024C	LTE1	I	-	101565	105872	1.226555	288.158569	575.339478
YAL023C	PMT2	I	-	106272	108551	14.643641	3440.278320	6868.884766
YAL022C	FUN26	I	-	108877	110430	2.361421	554.776367	1107.670410
YAL021C	CCR4	I	-	110846	113359	4.229780	993.716064	1984.060547
YAL020C	ATS1	I	-	113614	114615	0.889223	208.908051	417.107330
YAL019W-A	YAL019W-A	I	+	114250	114819	0.000000	0.000000	0.000000
YAL019W	FUN30	I	+	114919	118314	3.314388	778.659973	1554.678101
YAL018C	LDS1	I	-	118564	119541	0.000000	0.000000	0.000000
YAL017W	PSK1	I	+	120225	124295	3.029579	711.748840	1421.083008
YAL016C-B	YAL016C-B	I	-	124307	124492	0.000000	0.000000	0.000000
YAL016C-A	YAL016C-A	I	-	124755	125069	0.000000	0.000000	0.000000
YAL016W	TPD3	I	+	124879	126786	8.911603	2093.631836	4180.160645
YAL015C	NTG1	I	-	126903	128102	1.008333	236.890961	472.978180
YAL014C	SYN8	I	-	128252	129019	2.683594	630.465454	1258.791992
YAL013W	DEP1	I	+	129270	130487	1.486043	349.120941	697.057373
YAL012W	CYS3	I	+	130799	131983	21.478903	5046.108887	10075.096680
YAL011W	SWC3	I	+	132199	134076	1.309372	307.615021	614.186401
YAL010C	MDM10	I	-	134184	135665	0.914980	214.959229	429.189178
YAL009W	SPO7	I	+	135854	136633	1.921795	451.493591	901.455322
YAL008W	FUN14	I	+	136914	137510	3.539362	831.513855	1660.206543
YAL007C	ERP2	I	-	137698	138345	10.776235	2531.696045	5054.802734
tP(UGG)A	TRN1	I	+	139152	139254	0.000000	0.000000	0.000000
YAL005C	SSA1	I	-	139503	141431	322.166016	75687.515625	151118.234375
YAL004W	YAL004W	I	+	140760	141407	0.000000	0.000000	0.000000
YAL003W	EFB1	I	+	142174	143160	138.805161	32609.949219	65109.265625
snR18	snR18	I	+	142367	142468	7.245098	1702.114502	3398.454102
YAL002W	VPS8	I	+	143707	147531	0.838915	197.089035	393.509399
YAL001C	TFC3	I	-	147594	151166	2.061111	484.223511	966.804199
YAR002W	NUP60	I	+	152257	153876	3.979632	934.947876	1866.723755
YAR002C-A	ERP1	I	-	154065	154724	12.695455	2982.584473	5955.050293
YAR003W	SWD1	I	+	155005	156285	1.333333	313.244263	625.425781
YAR007C	RFA1	I	-	156754	158619	3.720525	874.075073	1745.184570
YAR008W	SEN34	I	+	158966	159793	1.811594	425.603668	849.763428
YAR009C	YAR009C	I	-	160597	164187	478.890839	112507.390625	224633.062500
YAR010C	YAR010C	I	-	164544	165866	488.329742	114724.898438	229060.562500
tA(UGC)A	TGA1	I	+	166267	166339	0.000000	0.000000	0.000000
YAR014C	BUD14	I	-	166742	168871	2.974765	698.871277	1395.371338
YAR015W	ADE1	I	+	169375	170295	8.030945	1886.736084	3767.071045
YAR018C	KIN3	I	-	170396	171703	1.101395	258.754333	516.630737
YAR019C	CDC15	I	-	172211	175135	1.352479	317.742279	634.406555
YAR019W-A	YAR019W-A	I	+	174998	175330	0.000000	0.000000	0.000000
YAR020C	PAU7	I	-	176856	177023	0.035714	8.390407	16.752346
YAR023C	YAR023C	I	-	179281	179820	0.211733	49.743122	99.317482
tL(CAA)A	SUP56	I	+	181141	181254	0.000000	0.000000	0.000000
tS(AGA)A	tS(AGA)A	I	-	182522	182603	0.000000	0.000000	0.000000
YAR027W	UIP3	I	+	183770	184477	5.432910	1276.371216	2548.412109
YAR028W	YAR028W	I	+	184892	185596	2.015603	473.532196	945.457825
YAR029W	YAR029W	I	+	186321	186545	0.475556	111.723923	223.068787
YAR030C	YAR030C	I	-	186512	186853	0.000000	0.000000	0.000000
YAR031W	PRM9	I	+	186836	187732	1.722965	404.781769	808.190247
YAR033W	MST28	I	+	188107	188811	1.824823	428.711639	855.968750
YAR035W	YAT1	I	+	190193	192256	0.194287	45.644482	91.134094
YAR035C-A	YAR035C-A	I	-	192337	192417	0.000000	0.000000	0.000000
YAR042W	SWH1	I	+	192619	196185	3.001122	705.063354	1407.734619
YAR047C	YAR047C	I	-	201467	201787	0.000000	0.000000	0.000000
YAR050W	FLO1	I	+	203403	208016	0.274363	64.456993	128.695297
YAR053W	YAR053W	I	+	208367	208663	0.000000	0.000000	0.000000
YAR060C	YAR060C	I	-	217157	217492	0.392869	92.297997	184.282852
YAR061W	YAR061W	I	+	218140	218343	0.000000	0.000000	0.000000
YAR062W	YAR062W	I	+	218549	219145	0.000000	0.000000	0.000000
YAR064W	YAR064W	I	+	220198	220497	0.000000	0.000000	0.000000
YAR066W	YAR066W	I	+	221049	221660	0.983663	231.095169	461.406250
YAR068W	YAR068W	I	+	222406	222891	2.113176	496.455353	991.226318
YAR069C	YAR069C	I	-	224011	224304	0.000000	0.000000	0.000000
YAR070C	YAR070C	I	-	224563	224862	0.000000	0.000000	0.000000
YAL069W	YAL069W	not_in_genome	+	335	646	0.0	0.0	0.0
Gfp_transgene_gene	Gfp_transgene_gene	Gfp_transgene	+	1	729	0.0	0.0	0.0
